"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","what_is_the_stance_of_the_user_that_wrote_those_three_messages","what_is_the_stance_of_the_user:confidence","content","ids","what_is_the_stance_of_the_user_gold"
"1048884185","false","finalized","2","9/25/2016 20:04:27","remain","1.0000","MESSAGE 1: reasons why i intend to spend today laughing at #brexit believers. https://t.co/vz2aasp3ii  MESSAGE 2: every #brexit voter should have to have farage forever tatooed on their chest. https://t.co/qmsfwa2mpp  MESSAGE 3: we put far too much faith in opinion polls. especially on an issue like #brexit, where opinion is a secondary factor in voting.","745866252413984768_745913376820367360_746078397969862657",
"1048884186","false","finalized","2","9/25/2016 20:27:15","remain","1.0000","MESSAGE 1: let's be honest. #brexit is the latest in a very bad decade for everyone creative, outward looking and industrious in the uk.  MESSAGE 2: you see, for the worst people, this is about humiliating the other half of their society. idiots. https://t.co/zjlgnlfkjq  MESSAGE 3: i wrote a column about science fiction. it has nothing to do with #brexit - https://t.co/qbvdcosms5","746264048791076865_746316676086521856_746375310577381376",
"1048884187","false","finalized","2","9/25/2016 20:13:45","remain","1.0000","MESSAGE 1: i understand the anger at ousting corbyn, but if labour can't take power and stop #brexit you have lost england for a generation.  MESSAGE 2: daily reminder that britain voted to be poorer and pay more taxes, because leave voters are moronic idiots #brexit https://t.co/ut7r5fth5e  MESSAGE 3: i suspect a lot of englishman, irishman, scotsman jokes have been rewritten this week. #brexit","747823508693094401_747737816193470465_747918753199947780",
"1048884188","false","finalized","2","9/25/2016 20:27:15","untelligible","1.0000","MESSAGE 1: #brexit: the uk's rage against dying of colonial light https://t.co/fa10kimvfh writes @peterkgeoghegan https://t.co/dq3e9qa697  MESSAGE 2: millions of britons begin voting in historic #euref that will shape british-eu ties for generations. https://t.co/3dmbvedocx #brexit  MESSAGE 3: the english mind: thinking about england and its future beyond the #brexit vote https://t.co/rmxrxfbgsx by @marwanbishara","745926904549605377_745866910726766593_745972198381330432",
"1048884189","false","finalized","2","9/25/2016 20:52:08","untelligible","1.0000","MESSAGE 1: does a #brexit signal the beginning of the end of the eu? #eurefresult  MESSAGE 2: do you think a #brexit will affect you? #eurefresults  MESSAGE 3: #brexit consequences: what happens next? https://t.co/x9xfa3yxe6 https://t.co/pk71l5hva6","746303786508034049_746337721518522368_746387020499525632",
"1048884190","false","finalized","2","9/25/2016 20:04:27","untelligible","1.0000","MESSAGE 1: opinion: britain and the arab world post #brexithttps://t.co/pnkscsswsx by @crispinbluntmp https://t.co/qrt3nkv78c  MESSAGE 2: opinion: what does #brexit mean for the arab world? https://t.co/xi6imeqgxk by @crispinbluntmp  MESSAGE 3: #brexit: ""we must now cut through the hysteria to regain some perspective."" https://t.co/fqrn5qcdm0 writes @crispinbluntmp","747837053895839744_747738430881271808_747927628963844096",
"1048884191","false","finalized","3","9/26/2016 00:28:35","remain","0.3563","MESSAGE 1: j.k rowling (who is brilliant at conjuring up fictional dangers) warns of terrible perils ahead if #brexit wins. https://t.co/tcc04odqou  MESSAGE 2: immigration is a big deal in britain—and as members of the eu, they have no control over their borders. #brexit https://t.co/vvj43yfm6k  MESSAGE 3: still not sure what #brexit is—or why it should matter to the us? @bromund breaks it down perfectly --&gt; https://t.co/vvj43xxlem","745972945483272192_745966136643092481_745967646655545344",
"1048884192","false","finalized","2","9/25/2016 20:04:27","leave","1.0000","MESSAGE 1: #brexit opponents need to look in the mirror - @bromund in @weeklystandard https://t.co/gef1cf8qxd  MESSAGE 2: with a special surprise coming up at the end... ?? https://t.co/hvat4dks5j  MESSAGE 3: the fact that #brexit is such a big deal shows exactly why they needed to leave. no unelected instutition should ever hold this much power.","746429438540144640_746371458352431104_746403766555934721",
"1048884193","false","finalized","2","9/25/2016 20:13:45","leave","1.0000","MESSAGE 1: ignore the media's fearmongering—here's what you need to know about #brexit and the economy. https://t.co/c2sfmwmahu  MESSAGE 2: #brexit is not a magic fix. it’s simply a necessary first step. @edfeulner https://t.co/g7lzfl4xrw  MESSAGE 3: #brexit is a clear signal to congress: fix america's overregulation problem. https://t.co/4hwlttk9ur","747895851989663744_747867290759135232_747863785658941440",
"1048884194","false","finalized","2","9/25/2016 20:46:18","leave","1.0000","MESSAGE 1: not really my business, but i hope my english followers and especially the #ncfc ones vote leave. england are better off outside eu #brexit  MESSAGE 2: can you imagine churchill pathetically promoting the views of a c list 'celebrity'?#brexit https://t.co/b5792n697f  MESSAGE 3: not british, but legit shocked that brits actually have to think about whether they want to be self-governed or governed by the eu. #brexit","745888344379383808_745896693267304448_746080670200500228",
